value,datetime,datetime_utc,tz_time,geo_id,geo_name
32915.0,2024-01-04T18:45:00.000+01:00,2024-01-04T17:45:00Z,2024-01-04T17:45:00.000Z,8741,Península
32561.0,2024-01-04T19:00:00.000+01:00,2024-01-04T18:00:00Z,2024-01-04T18:00:00.000Z,8741,Península
32691.0,2024-01-04T19:15:00.000+01:00,2024-01-04T18:15:00Z,2024-01-04T18:15:00.000Z,8741,Península
32821.0,2024-01-04T19:30:00.000+01:00,2024-01-04T18:30:00Z,2024-01-04T18:30:00.000Z,8741,Península
32941.0,2024-01-04T19:45:00.000+01:00,2024-01-04T18:45:00Z,2024-01-04T18:45:00.000Z,8741,Península
32799.0,2024-01-04T20:00:00.000+01:00,2024-01-04T19:00:00Z,2024-01-04T19:00:00.000Z,8741,Península
32926.0,2024-01-04T20:15:00.000+01:00,2024-01-04T19:15:00Z,2024-01-04T19:15:00.000Z,8741,Península
33003.0,2024-01-04T20:30:00.000+01:00,2024-01-04T19:30:00Z,2024-01-04T19:30:00.000Z,8741,Península
32989.0,2024-01-04T20:45:00.000+01:00,2024-01-04T19:45:00Z,2024-01-04T19:45:00.000Z,8741,Península
33212.0,2024-01-04T21:00:00.000+01:00,2024-01-04T20:00:00Z,2024-01-04T20:00:00.000Z,8741,Península
32797.0,2024-01-04T21:15:00.000+01:00,2024-01-04T20:15:00Z,2024-01-04T20:15:00.000Z,8741,Península
32242.0,2024-01-04T21:30:00.000+01:00,2024-01-04T20:30:00Z,2024-01-04T20:30:00.000Z,8741,Península
31579.0,2024-01-04T21:45:00.000+01:00,2024-01-04T20:45:00Z,2024-01-04T20:45:00.000Z,8741,Península
30994.0,2024-01-04T22:00:00.000+01:00,2024-01-04T21:00:00Z,2024-01-04T21:00:00.000Z,8741,Península
30214.0,2024-01-04T22:15:00.000+01:00,2024-01-04T21:15:00Z,2024-01-04T21:15:00.000Z,8741,Península
29424.0,2024-01-04T22:30:00.000+01:00,2024-01-04T21:30:00Z,2024-01-04T21:30:00.000Z,8741,Península
28652.0,2024-01-04T22:45:00.000+01:00,2024-01-04T21:45:00Z,2024-01-04T21:45:00.000Z,8741,Península
27730.0,2024-01-04T23:00:00.000+01:00,2024-01-04T22:00:00Z,2024-01-04T22:00:00.000Z,8741,Península
27104.0,2024-01-04T23:15:00.000+01:00,2024-01-04T22:15:00Z,2024-01-04T22:15:00.000Z,8741,Península
26534.0,2024-01-04T23:30:00.000+01:00,2024-01-04T22:30:00Z,2024-01-04T22:30:00.000Z,8741,Península
26007.0,2024-01-04T23:45:00.000+01:00,2024-01-04T22:45:00Z,2024-01-04T22:45:00.000Z,8741,Península
25589.0,2024-01-05T00:00:00.000+01:00,2024-01-04T23:00:00Z,2024-01-04T23:00:00.000Z,8741,Península
25074.0,2024-01-05T00:15:00.000+01:00,2024-01-04T23:15:00Z,2024-01-04T23:15:00.000Z,8741,Península
24570.0,2024-01-05T00:30:00.000+01:00,2024-01-04T23:30:00Z,2024-01-04T23:30:00.000Z,8741,Península
24087.0,2024-01-05T00:45:00.000+01:00,2024-01-04T23:45:00Z,2024-01-04T23:45:00.000Z,8741,Península
